               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12256,            0.039181,            0.031809,                   0,                   0,                   0,                   0,            0.085875,            0.024219,            0.020377,              0.0955,              0.0005,              0.0005
                   1,             0.10789,            0.040914,            0.030761,           0.0038911,             0.16667,           0.0033193,           0.0014079,            0.078608,            0.022683,             0.01894,            0.090095,           0.0010946,           0.0010946
                   2,            0.092301,            0.042607,            0.028094,           0.0068201,             0.33333,            0.027111,           0.0076836,            0.050645,            0.022447,             0.01781,            0.084683,           0.0016832,           0.0016832
                   3,            0.081358,            0.046664,            0.026102,           0.0068225,                 0.5,              0.1017,            0.032769,            0.042134,            0.022449,            0.018615,            0.079266,           0.0022658,           0.0022658
                   4,            0.077537,            0.047315,             0.02794,           0.0066995,             0.33333,            0.097335,            0.041606,            0.038984,            0.021208,            0.019293,            0.073843,           0.0028426,           0.0028426
                   5,            0.067998,            0.046419,            0.025215,             0.11762,             0.13133,             0.15648,            0.044231,            0.034816,            0.019953,            0.019812,            0.068413,           0.0034134,           0.0034134
                   6,            0.066436,            0.041418,            0.025114,             0.27135,             0.15916,             0.16721,            0.060997,            0.047825,            0.020296,            0.016163,            0.062978,           0.0039782,           0.0039782
                   7,            0.061343,            0.039916,            0.024115,              0.1552,                 0.5,             0.30903,             0.09106,            0.036497,             0.02455,            0.015355,            0.057537,           0.0045371,           0.0045371
                   8,            0.056439,            0.038267,            0.023198,             0.20781,                0.25,              0.2228,             0.11533,            0.030554,            0.020104,            0.017675,             0.05209,           0.0050901,           0.0050901
                   9,            0.060385,            0.039218,            0.024261,             0.28675,             0.72634,             0.38329,             0.12281,            0.034197,            0.016366,            0.017779,            0.046637,           0.0056372,           0.0056372
                  10,            0.056978,            0.036533,            0.022717,             0.40218,             0.48811,             0.41857,              0.1967,            0.028289,             0.01431,            0.016931,            0.041178,           0.0061782,           0.0061782
                  11,            0.054763,            0.034457,            0.024036,             0.64287,             0.56643,             0.55032,             0.13927,            0.040423,            0.013091,            0.016581,            0.035713,           0.0067134,           0.0067134
                  12,            0.058697,            0.034498,            0.023415,             0.30255,              0.7372,             0.44517,             0.23213,            0.035492,            0.013961,            0.016494,            0.030243,           0.0072426,           0.0072426
                  13,            0.054516,            0.036784,            0.023241,             0.30332,             0.66667,             0.50961,             0.24039,             0.03955,             0.01304,            0.015446,            0.024766,           0.0077659,           0.0077659
                  14,            0.050639,            0.035037,             0.02319,              0.8566,             0.33333,             0.50133,             0.20349,            0.032725,            0.012314,            0.014785,            0.019283,           0.0082832,           0.0082832
                  15,            0.053186,            0.033662,            0.021919,             0.21235,                 0.5,             0.38579,             0.12997,            0.038728,            0.012843,            0.014507,            0.013795,           0.0087946,           0.0087946
                  16,            0.052033,            0.032074,            0.024231,             0.27404,             0.34594,             0.35793,               0.186,            0.033571,             0.01628,            0.013395,            0.009208,            0.009208,            0.009208
                  17,            0.054014,             0.03163,            0.023629,             0.17192,              0.4377,             0.34774,             0.13562,            0.039413,            0.013621,            0.012626,            0.009208,            0.009208,            0.009208
                  18,            0.054161,            0.036167,            0.022187,             0.37535,             0.47519,             0.42696,             0.22688,            0.043418,            0.013639,            0.012997,           0.0091585,           0.0091585,           0.0091585
                  19,             0.04752,            0.032587,            0.023817,             0.86382,             0.33333,             0.41575,             0.22456,            0.042537,             0.01337,            0.012826,            0.009109,            0.009109,            0.009109
                  20,            0.052388,            0.032779,            0.022194,             0.39166,                 0.5,             0.50233,             0.15386,            0.033895,            0.013533,            0.012869,           0.0090595,           0.0090595,           0.0090595
                  21,            0.045946,              0.0282,            0.021322,             0.35499,             0.41667,             0.50593,             0.14816,            0.026913,            0.014231,            0.012251,             0.00901,             0.00901,             0.00901
                  22,            0.046707,            0.031283,            0.020355,             0.43084,             0.33333,             0.49269,             0.23995,            0.029482,            0.013405,            0.012104,           0.0089605,           0.0089605,           0.0089605
                  23,            0.046014,            0.028609,            0.020723,             0.38304,             0.33333,             0.51211,              0.1805,             0.03328,            0.013654,            0.011361,            0.008911,            0.008911,            0.008911
                  24,            0.046235,            0.029709,            0.018825,                 0.5,             0.24991,             0.37329,             0.16837,             0.02852,            0.016603,            0.011319,           0.0088615,           0.0088615,           0.0088615
                  25,            0.039287,            0.031226,            0.018021,             0.37638,                0.25,             0.29782,             0.16493,             0.02975,            0.018387,           0.0090738,            0.008812,            0.008812,            0.008812
                  26,            0.046629,            0.030522,            0.018371,             0.45174,             0.16667,             0.24418,             0.15144,            0.030208,            0.019428,            0.011209,           0.0087625,           0.0087625,           0.0087625
                  27,            0.039979,             0.03198,            0.016744,             0.30737,             0.58333,              0.4088,               0.201,             0.02713,            0.016975,           0.0086653,            0.008713,            0.008713,            0.008713
                  28,            0.045476,            0.028229,            0.015719,             0.52596,             0.58333,             0.62467,             0.26753,            0.032224,            0.014934,           0.0094121,           0.0086635,           0.0086635,           0.0086635
                  29,            0.037947,            0.027794,            0.015897,             0.69403,             0.41667,             0.57605,             0.22668,            0.024777,            0.016834,           0.0076776,            0.008614,            0.008614,            0.008614
                  30,            0.042749,            0.029201,            0.016048,             0.37142,                0.75,             0.53489,             0.24389,            0.034648,            0.014991,            0.006475,           0.0085645,           0.0085645,           0.0085645
                  31,            0.043282,            0.026079,            0.017321,             0.50822,             0.58333,             0.51051,             0.27549,            0.023185,            0.014145,           0.0055867,            0.008515,            0.008515,            0.008515
                  32,            0.040869,             0.02879,            0.016466,             0.43935,             0.40633,             0.38562,             0.21104,            0.027323,            0.013484,           0.0057068,           0.0084655,           0.0084655,           0.0084655
                  33,            0.043072,            0.028695,            0.014135,             0.59141,             0.48253,              0.4532,             0.24714,            0.025604,            0.013525,           0.0050715,            0.008416,            0.008416,            0.008416
                  34,            0.038364,            0.027438,            0.017353,             0.45134,             0.58333,             0.52677,             0.35144,            0.029423,            0.013059,           0.0056705,           0.0083665,           0.0083665,           0.0083665
                  35,            0.035611,            0.027686,            0.015295,             0.54981,             0.83333,             0.59452,             0.34616,             0.02333,            0.011812,           0.0061901,            0.008317,            0.008317,            0.008317
                  36,            0.038789,            0.027012,            0.014381,             0.57646,             0.83333,             0.58892,             0.27258,            0.030102,            0.012358,           0.0050111,           0.0082675,           0.0082675,           0.0082675
                  37,             0.03555,            0.026929,            0.011914,             0.54458,             0.66667,             0.62139,             0.32214,            0.031632,            0.012342,           0.0036108,            0.008218,            0.008218,            0.008218
                  38,            0.038441,            0.025305,            0.010507,             0.69499,              0.8209,             0.74992,             0.42749,            0.021563,            0.011361,           0.0033523,           0.0081685,           0.0081685,           0.0081685
                  39,            0.035696,            0.029511,            0.012409,              0.6041,             0.90552,             0.78605,             0.36929,            0.030465,            0.012983,           0.0035058,            0.008119,            0.008119,            0.008119
                  40,            0.037637,            0.027371,            0.011545,             0.68099,              0.8421,             0.71013,              0.3931,            0.028561,             0.01127,             0.00377,           0.0080695,           0.0080695,           0.0080695
                  41,            0.032728,            0.024789,              0.0123,             0.80497,             0.82766,             0.74955,             0.43225,            0.021682,            0.012412,           0.0042938,             0.00802,             0.00802,             0.00802
                  42,            0.036929,            0.025788,            0.011893,             0.64645,              0.8753,             0.71864,             0.44307,             0.02332,            0.012684,           0.0044772,           0.0079705,           0.0079705,           0.0079705
                  43,             0.03396,            0.025183,           0.0087647,             0.61267,             0.83333,             0.67887,             0.35483,            0.024265,            0.013149,           0.0042886,            0.007921,            0.007921,            0.007921
                  44,            0.035428,            0.025339,             0.01046,             0.61139,              0.6389,             0.59688,             0.28261,            0.026223,            0.012016,           0.0047565,           0.0078715,           0.0078715,           0.0078715
                  45,            0.033788,            0.028435,            0.010044,             0.71677,              0.8664,             0.72765,             0.40162,            0.023913,            0.011281,           0.0052116,            0.007822,            0.007822,            0.007822
                  46,            0.036128,            0.024614,            0.010217,             0.77935,             0.83103,             0.78644,              0.5019,            0.018644,             0.01028,           0.0051105,           0.0077725,           0.0077725,           0.0077725
                  47,             0.03365,             0.02664,           0.0093878,             0.79023,             0.90458,             0.76933,             0.47696,             0.02201,           0.0097929,           0.0043129,            0.007723,            0.007723,            0.007723
                  48,            0.034499,            0.024019,           0.0081608,             0.78478,             0.83333,             0.78563,             0.51877,            0.016726,            0.010062,           0.0043055,           0.0076735,           0.0076735,           0.0076735
                  49,            0.032123,            0.028327,           0.0087154,             0.79423,             0.82463,             0.77349,             0.39838,            0.026294,            0.011595,           0.0031713,            0.007624,            0.007624,            0.007624
                  50,            0.033126,            0.021839,           0.0076347,             0.70561,             0.79726,             0.76327,             0.49208,            0.021559,            0.012018,           0.0026285,           0.0075745,           0.0075745,           0.0075745
                  51,            0.030424,             0.02532,           0.0084973,             0.80925,             0.90933,              0.7691,             0.45796,            0.017705,            0.012104,            0.002091,            0.007525,            0.007525,            0.007525
                  52,            0.031468,            0.023756,           0.0069313,             0.71854,             0.83333,             0.74329,             0.42905,            0.018011,            0.013058,           0.0024197,           0.0074755,           0.0074755,           0.0074755
                  53,            0.029974,            0.025063,           0.0068673,             0.59853,             0.76423,             0.70234,             0.35332,            0.029015,            0.012939,           0.0033824,            0.007426,            0.007426,            0.007426
                  54,            0.035574,            0.024579,           0.0068618,             0.77552,             0.65002,             0.66182,             0.44437,            0.016856,            0.013664,            0.003202,           0.0073765,           0.0073765,           0.0073765
                  55,            0.030903,            0.024002,           0.0081569,             0.75875,             0.80976,             0.76438,             0.48193,            0.024275,            0.012051,           0.0014874,            0.007327,            0.007327,            0.007327
                  56,            0.033667,            0.023152,           0.0066203,             0.67138,             0.80889,             0.69851,             0.44266,              0.0252,            0.012617,           0.0016029,           0.0072775,           0.0072775,           0.0072775
                  57,            0.028577,            0.022629,           0.0063369,             0.51247,             0.83333,             0.61861,             0.40329,             0.02052,            0.012602,           0.0018179,            0.007228,            0.007228,            0.007228
                  58,             0.03249,            0.024194,            0.008607,             0.78059,             0.82708,             0.73408,             0.45929,            0.017011,            0.013528,           0.0019142,           0.0071785,           0.0071785,           0.0071785
                  59,            0.031076,               0.026,           0.0091108,             0.81891,             0.72788,             0.73647,             0.47854,            0.016685,            0.013107,           0.0024237,            0.007129,            0.007129,            0.007129
